Date,Symbol,Close
1/2/2015,CPRT,18.29
1/5/2015,CPRT,18.11
1/6/2015,CPRT,17.91
1/7/2015,CPRT,17.96
1/8/2015,CPRT,18.15
1/9/2015,CPRT,18.06
1/12/2015,CPRT,17.82
1/13/2015,CPRT,17.76
1/14/2015,CPRT,17.67
1/15/2015,CPRT,17.51
1/16/2015,CPRT,17.51
1/20/2015,CPRT,17.5
1/21/2015,CPRT,17.83
1/22/2015,CPRT,18.27
1/23/2015,CPRT,18.45
1/26/2015,CPRT,18.61
1/27/2015,CPRT,18.41
1/28/2015,CPRT,18.34
1/29/2015,CPRT,18.46
1/30/2015,CPRT,18.3
2/2/2015,CPRT,18.56
2/3/2015,CPRT,18.9
2/4/2015,CPRT,18.6
2/5/2015,CPRT,18.75
2/6/2015,CPRT,18.84
2/9/2015,CPRT,18.84
2/10/2015,CPRT,18.93
2/11/2015,CPRT,18.92
2/12/2015,CPRT,18.97
2/13/2015,CPRT,19.09
2/17/2015,CPRT,18.99
2/18/2015,CPRT,19.02
2/19/2015,CPRT,18.97
2/20/2015,CPRT,19
2/23/2015,CPRT,18.76
2/24/2015,CPRT,18.8
2/25/2015,CPRT,19.18
2/26/2015,CPRT,18.96
2/27/2015,CPRT,18.71
3/2/2015,CPRT,19.05
3/3/2015,CPRT,18.93
3/4/2015,CPRT,18.64
3/5/2015,CPRT,18.64
3/6/2015,CPRT,18.61
3/9/2015,CPRT,18.61
3/10/2015,CPRT,18.34
3/11/2015,CPRT,18.41
3/12/2015,CPRT,18.66
3/13/2015,CPRT,18.64
3/16/2015,CPRT,18.86
3/17/2015,CPRT,18.7
3/18/2015,CPRT,18.68
3/19/2015,CPRT,18.68
3/20/2015,CPRT,18.9
3/23/2015,CPRT,18.77
3/24/2015,CPRT,18.73
3/25/2015,CPRT,18.31
3/26/2015,CPRT,18.38
3/27/2015,CPRT,18.6
3/30/2015,CPRT,18.75
3/31/2015,CPRT,18.79
4/1/2015,CPRT,18.77
4/2/2015,CPRT,18.84
4/6/2015,CPRT,19.06
4/7/2015,CPRT,18.91
4/8/2015,CPRT,19.04
4/9/2015,CPRT,18.93
4/10/2015,CPRT,18.93
4/13/2015,CPRT,18.84
4/14/2015,CPRT,18.8
4/15/2015,CPRT,18.91
4/16/2015,CPRT,18.79
4/17/2015,CPRT,18.5
4/20/2015,CPRT,18.7
4/21/2015,CPRT,18.68
4/22/2015,CPRT,18.6
4/23/2015,CPRT,18.67
4/24/2015,CPRT,18.59
4/27/2015,CPRT,18.33
4/28/2015,CPRT,18.31
4/29/2015,CPRT,18.14
4/30/2015,CPRT,17.79
5/1/2015,CPRT,17.89
5/4/2015,CPRT,17.99
5/5/2015,CPRT,17.58
5/6/2015,CPRT,17.52
5/7/2015,CPRT,17.56
5/8/2015,CPRT,17.57
5/11/2015,CPRT,17.56
5/12/2015,CPRT,17.61
5/13/2015,CPRT,17.52
5/14/2015,CPRT,17.71
5/15/2015,CPRT,17.66
5/18/2015,CPRT,17.84
5/19/2015,CPRT,17.83
5/20/2015,CPRT,17.79
5/21/2015,CPRT,17.75
5/22/2015,CPRT,17.8
5/26/2015,CPRT,17.65
5/27/2015,CPRT,17.79
5/28/2015,CPRT,17.22
5/29/2015,CPRT,17.3
6/1/2015,CPRT,17.1
6/2/2015,CPRT,17.17
6/3/2015,CPRT,17.27
6/4/2015,CPRT,17.78
6/5/2015,CPRT,17.88
6/8/2015,CPRT,17.76
6/9/2015,CPRT,17.8
6/10/2015,CPRT,17.85
6/11/2015,CPRT,17.94
6/12/2015,CPRT,17.89
6/15/2015,CPRT,17.85
6/16/2015,CPRT,18
6/17/2015,CPRT,17.84
6/18/2015,CPRT,17.98
6/19/2015,CPRT,17.92
6/22/2015,CPRT,17.93
6/23/2015,CPRT,17.95
6/24/2015,CPRT,17.83
6/25/2015,CPRT,17.84
6/26/2015,CPRT,17.86
6/29/2015,CPRT,17.68
6/30/2015,CPRT,17.74
7/1/2015,CPRT,17.82
7/2/2015,CPRT,17.77
7/6/2015,CPRT,17.89
7/7/2015,CPRT,18.02
7/8/2015,CPRT,17.64
7/9/2015,CPRT,17.64
7/10/2015,CPRT,17.73
7/13/2015,CPRT,17.95
7/14/2015,CPRT,18.07
7/15/2015,CPRT,18.21
7/16/2015,CPRT,18.32
7/17/2015,CPRT,18.31
7/20/2015,CPRT,18.31
7/21/2015,CPRT,17.95
7/22/2015,CPRT,18.04
7/23/2015,CPRT,17.95
7/24/2015,CPRT,17.71
7/27/2015,CPRT,17.63
7/28/2015,CPRT,17.86
7/29/2015,CPRT,18
7/30/2015,CPRT,17.93
7/31/2015,CPRT,18.02
8/3/2015,CPRT,18.07
8/4/2015,CPRT,18.09
8/5/2015,CPRT,18.18
8/6/2015,CPRT,17.99
8/7/2015,CPRT,18.09
8/10/2015,CPRT,18.26
8/11/2015,CPRT,18.11
8/12/2015,CPRT,18.01
8/13/2015,CPRT,18.02
8/14/2015,CPRT,18.19
8/17/2015,CPRT,18.37
8/18/2015,CPRT,18.25
8/19/2015,CPRT,18.06
8/20/2015,CPRT,17.66
8/21/2015,CPRT,17.3
8/24/2015,CPRT,16.74
8/25/2015,CPRT,16.79
8/26/2015,CPRT,17.06
8/27/2015,CPRT,17.36
8/28/2015,CPRT,17.5
8/31/2015,CPRT,17.51
9/1/2015,CPRT,16.93
9/2/2015,CPRT,17.51
9/3/2015,CPRT,17.43
9/4/2015,CPRT,17.44
9/8/2015,CPRT,17.68
9/9/2015,CPRT,17.48
9/10/2015,CPRT,17.56
9/11/2015,CPRT,17.52
9/14/2015,CPRT,17.35
9/15/2015,CPRT,17.61
9/16/2015,CPRT,17.66
9/17/2015,CPRT,17.65
9/18/2015,CPRT,17.38
9/21/2015,CPRT,17.55
9/22/2015,CPRT,17.18
9/23/2015,CPRT,17.05
9/24/2015,CPRT,16.92
9/25/2015,CPRT,17.1
9/28/2015,CPRT,16.73
9/29/2015,CPRT,16.7
9/30/2015,CPRT,16.45
10/1/2015,CPRT,16.72
10/2/2015,CPRT,16.99
10/5/2015,CPRT,17.4
10/6/2015,CPRT,17.32
10/7/2015,CPRT,17.42
10/8/2015,CPRT,17.43
10/9/2015,CPRT,17.4
10/12/2015,CPRT,17.47
10/13/2015,CPRT,17.36
10/14/2015,CPRT,17.2
